Order_ID,Date,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price_INR,Total_Sales_INR,Payment_Method,State,Country,Month
ORD100000,2024-01-01,CUST8270,Grocery,Atta 10Kg,2,20862,41724,Debit Card,Karnataka,India,1
ORD100001,2024-01-02,CUST1860,Electronics,Tablet,5,15517,77585,Upi,Maharashtra,India,1
ORD100002,2024-01-03,CUST6390,Home & Kitchen,Mixer Grinder,5,13937,69685,Credit Card,Karnataka,India,1
ORD100003,2024-01-04,CUST6191,Home & Kitchen,Bedsheet,3,19825,59475,Credit Card,Gujarat,India,1
ORD100004,2024-01-05,CUST6734,Beauty,Perfume,5,27988,139940,Cash On Delivery,Gujarat,India,1
ORD100005,2024-01-06,CUST7265,Beauty,Perfume,4,12516,50064,Upi,Rajasthan,India,1
ORD100006,2024-01-07,CUST1466,Grocery,Cooking Oil,5,29619,148095,Cash On Delivery,Maharashtra,India,1
ORD100007,2024-01-08,CUST5426,Fashion,Jeans,1,4561,4561,Upi,Rajasthan,India,1
ORD100008,2024-01-09,CUST6578,Fashion,T-Shirt,1,20344,20344,Upi,Delhi,India,1
ORD100009,2024-01-10,CUST9322,Home & Kitchen,Water Bottle,2,14469,28938,Upi,West Bengal,India,1
ORD100010,2024-01-11,CUST2685,Electronics,Smartwatch,1,4694,4694,Upi,Maharashtra,India,1
ORD100011,2024-01-12,CUST1769,Fashion,Jacket,3,10433,31299,Upi,West Bengal,India,1
ORD100012,2024-01-13,CUST7949,Grocery,Atta 10Kg,4,5005,20020,Cash On Delivery,Rajasthan,India,1
ORD100013,2024-01-14,CUST3433,Beauty,Hair Dryer,5,14761,73805,Debit Card,Maharashtra,India,1
ORD100014,2024-01-15,CUST6311,Fashion,Jacket,3,24411,73233,Debit Card,West Bengal,India,1
ORD100015,2024-01-16,CUST6051,Grocery,Atta 10Kg,5,1589,7945,Debit Card,Gujarat,India,1
ORD100016,2024-01-17,CUST7420,Home & Kitchen,Mixer Grinder,2,17520,35040,Credit Card,Maharashtra,India,1
ORD100017,2024-01-18,CUST2184,Beauty,Lipstick,5,18380,91900,Debit Card,Rajasthan,India,1
ORD100018,2024-01-19,CUST5555,Electronics,Smartphone,3,29915,89745,Upi,Gujarat,India,1
